Year,Age Group,Veteran Suicide Deaths,Veteran Population Estimate,"Veteran Crude Rate per 100,000",Male Veteran Suicide Deaths,Male Veteran Population Estimate,"Male Veteran Crude Rate per 100,000",Age Group 2,Female Veteran Suicide Deaths,Female Veteran Population Estimate,"Female Veteran Crude Rate per 100,000"
2001,18-34,618,2616000,23.6,588,2223000,26.5,18-34,30,393000,7.6
2001,35-54,2505,8899000,28.1,2398,8137000,29.5,35-54,107,762000,14.0
2001,55-74,1689,9761000,17.3,1678,9512000,17.6,55+,17,466000,3.6
2001,75+,1174,4457000,26.3,1168,4240000,27.5,,,,
2001,Total,5989,25733000,23.3,5835,24112000,24.2,Total,154,1621000,9.5
2002,18-34,589,2504000,23.5,565,2112000,26.8,18-34,24,392000,6.1
2002,35-54,2433,8470000,28.7,2343,7688000,30.5,35-54,90,782000,11.5
2002,55-74,1818,9816000,18.5,1807,9527000,19.0,55+,20,504000,4.0
2002,75+,1282,4608000,27.8,1273,4393000,29.0,,,,
2002,Total,6129,25398000,24.1,5995,23720000,25.3,Total,134,1678000,8.0
2003,18-34,668,2397000,27.9,627,2009000,31.2,18-34,41,388000,10.6
2003,35-54,2317,8043000,28.8,2227,7247000,30.7,35-54,90,796000,11.3
2003,55-74,1811,9891000,18.3,1798,9586000,18.8,55+,20,521000,3.8
2003,75+,1178,4662000,25.3,1171,4446000,26.3,,,,
2003,Total,5981,24993000,23.9,5830,23288000,25.0,Total,151,1705000,8.9
2004,18-34,589,2342000,25.1,552,1946000,28.4,18-34,37,396000,9.3
2004,35-54,2237,7732000,28.9,2127,6924000,30.7,35-54,110,808000,13.6
2004,55-74,1887,9872000,19.1,1872,9556000,19.6,55+,22,550000,4.0
2004,75+,1275,4810000,26.5,1268,4576000,27.7,,,,
2004,Total,5991,24756000,24.2,5822,23002000,25.3,Total,169,1754000,9.6
2005,18-34,576,2270000,25.4,533,1870000,28.5,18-34,43,400000,10.8
2005,35-54,2134,7576000,28.2,2017,6737000,29.9,35-54,117,839000,13.9
2005,55-74,1994,9835000,20.3,1972,9474000,20.8,55+,29,604000,4.8
2005,75+,1404,4919000,28.5,1397,4676000,29.9,,,,
2005,Total,6112,24600000,24.8,5923,22757000,26.0,Total,189,1843000,10.3
2006,18-34,531,2191000,24.2,498,1795000,27.7,18-34,33,396000,8.3
2006,35-54,2071,7416000,27.9,1959,6564000,29.8,35-54,112,852000,13.1
2006,55-74,2056,9593000,21.4,2036,9246000,22.0,55+,29,574000,5.1
2006,75+,1359,4917000,27.6,1350,4690000,28.8,,,,
2006,Total,6019,24117000,25.0,5845,22295000,26.2,Total,174,1822000,9.5
2007,18-34,561,2149000,26.1,526,1749000,30.1,18-34,35,400000,8.8
2007,35-54,2108,7219000,29.2,1993,6361000,31.3,35-54,115,858000,13.4
2007,55-74,2118,9392000,22.6,2087,9055000,23.0,55+,36,520000,6.9
2007,75+,1444,4889000,29.5,1439,4706000,30.6,,,,
2007,Total,6232,23649000,26.4,6046,21871000,27.6,Total,186,1778000,10.5
2008,18-34,605,2126000,28.5,562,1725000,32.6,18-34,43,401000,10.7
2008,35-54,2157,7025000,30.7,2043,6175000,33.1,35-54,114,850000,13.4
2008,55-74,2333,9247000,25.2,2291,8933000,25.6,55+,52,489000,10.6
2008,75+,1458,4935000,29.5,1448,4760000,30.4,,,,
2008,Total,6555,23333000,28.1,6346,21593000,29.4,Total,209,1740000,12.0
2009,18-34,607,2101000,28.9,546,1697000,32.2,18-34,61,404000,15.1
2009,35-54,2092,6845000,30.6,1965,5988000,32.8,35-54,127,857000,14.8
2009,55-74,2292,9144000,25.1,2258,8799000,25.7,55+,40,519000,7.7
2009,75+,1513,4893000,30.9,1507,4719000,31.9,,,,
2009,Total,6506,22983000,28.3,6278,21203000,29.6,Total,228,1780000,12.8
2010,18-34,623,2102000,29.6,575,1696000,33.9,18-34,48,406000,11.8
2010,35-54,2049,6627000,30.9,1919,5781000,33.2,35-54,130,846000,15.4
2010,55-74,2379,9221000,25.8,2327,8839000,26.3,55+,54,533000,10.1
2010,75+,1481,4802000,30.8,1479,4651000,31.8,,,,
2010,Total,6535,22752000,28.7,6302,20967000,30.1,Total,233,1785000,13.1
2011,18-34,674,2109000,32.0,617,1703000,36.2,18-34,57,406000,14.0
2011,35-54,1998,6408000,31.2,1857,5564000,33.4,35-54,141,844000,16.7
2011,55-74,2317,9227000,25.1,2267,8812000,25.7,55+,55,577000,9.5
2011,75+,1439,4777000,30.1,1434,4615000,31.1,,,,
2011,Total,6437,22521000,28.6,6184,20694000,29.9,Total,253,1827000,13.8
2012,18-34,727,2119000,34.3,675,1710000,39.5,18-34,52,409000,12.7
2012,35-54,1917,6191000,31.0,1788,5353000,33.4,35-54,129,838000,15.4
2012,55-74,2345,9137000,25.7,2291,8686000,26.4,55+,58,598000,9.7
2012,75+,1438,4746000,30.3,1434,4599000,31.2,,,,
2012,Total,6432,22193000,29.0,6193,20348000,30.4,Total,239,1845000,13.0
2013,18-34,810,2092000,38.7,748,1694000,44.2,18-34,62,398000,15.6
2013,35-54,1810,6004000,30.1,1688,5165000,32.7,35-54,122,839000,14.5
2013,55-74,2418,9106000,26.6,2354,8626000,27.3,55+,71,636000,11.2
2013,75+,1453,4798000,30.3,1446,4642000,31.2,,,,
2013,Total,6497,22000000,29.5,6242,20127000,31.0,Total,255,1873000,13.6
2014,18-34,789,2073000,38.1,731,1681000,43.5,18-34,58,392000,14.8
2014,35-54,1868,5833000,32.0,1705,5002000,34.1,35-54,163,831000,19.6
2014,55-74,2487,9058000,27.5,2421,8547000,28.3,55+,73,652000,11.2
2014,75+,1489,4702000,31.7,1482,4561000,32.5,,,,
2014,Total,6639,21666000,30.6,6345,19791000,32.1,Total,294,1875000,15.7
2015,18-34,844,2045000,41.3,782,1658000,47.2,18-34,62,387000,16.0
2015,35-54,1860,5663000,32.8,1708,4838000,35.3,35-54,152,825000,18.4
2015,55-74,2496,8955000,27.9,2406,8401000,28.6,55+,100,698000,14.3
2015,75+,1407,4578000,30.7,1397,4434000,31.5,,,,
2015,Total,6613,21241000,31.1,6299,19331000,32.6,Total,314,1910000,16.4
2016,18-34,892,1997000,44.7,835,1622000,51.5,18-34,57,375000,15.2
2016,35-54,1697,5496000,30.9,1564,4682000,33.4,35-54,133,814000,16.3
2016,55-74,2444,8831000,27.7,2350,8254000,28.5,55+,107,710000,15.1
2016,75+,1432,4539000,31.5,1419,4406000,32.2,,,,
2016,Total,6475,20863000,31.0,6178,18964000,32.6,Total,297,1899000,15.6
2017,18-34,892,1951000,45.7,807,1589000,50.8,18-34,85,362000,23.5
2017,35-54,1795,5343000,33.6,1649,4529000,36.4,35-54,146,814000,17.9
2017,55-74,2550,8674000,29.4,2433,8056000,30.2,55+,144,761000,18.9
2017,75+,1494,4512000,33.1,1467,4369000,33.6,,,,
2017,Total,6761,20480000,33.0,6384,18543000,34.4,Total,377,1937000,19.5
2018,18-34,908,1904000,47.7,822,1547000,53.1,18-34,86,357000,24.1
2018,35-54,1741,5196000,33.5,1604,4381000,36.6,35-54,137,815000,16.8
2018,55-74,2644,8551000,30.9,2545,7893000,32.2,55+,112,793000,14.1
2018,75+,1345,4515000,29.8,1332,4380000,30.4,,,,
2018,Total,6660,20166000,33.0,6324,18201000,34.7,Total,336,1965000,17.1
2019,18-34,828,1863000,44.4,766,1514000,50.6,18-34,62,349000,17.8
2019,35-54,1663,5075000,32.8,1525,4258000,35.8,35-54,138,817000,16.9
2019,55-74,2407,8352000,28.8,2317,7669000,30.2,55+,97,826000,11.7
2019,75+,1336,4507000,29.6,1329,4364000,30.5,,,,
2019,Total,6261,19797000,31.6,5964,17805000,33.5,Total,297,1992000,14.9